"","DATE","US","Chicago","Pittsburgh","Boston","San.Jose","SanFransisco","NY.NJ","Austin","Philadelphia","Columbus.OH"
"1",1975-01-01,59.91,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1975-04-01,60.76,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1975-07-01,61.16,64.72851646,NA,NA,44.57409568,43.93581878,NA,NA,NA,NA
"4",1975-10-01,62.22,66.24625909,NA,NA,44.94749125,45.54034922,66.41873278,NA,NA,NA
"5",1976-01-01,62.85,66.97306541,NA,NA,46.25437573,47.78197263,65.8953168,NA,NA,NA
"6",1976-04-01,65.43,68.76870457,NA,NA,48.54142357,51.39216612,64.35261708,NA,NA,73.72318208
"7",1976-07-01,66.5,73.10816588,71.39983236,NA,51.29521587,51.79329873,68.07162534,NA,NA,73.32447313
"8",1976-10-01,67.19,73.59982899,71.14836547,NA,55.00583431,56.01698915,67.96143251,NA,79.97311828,76.07746345
"9",1977-01-01,69.47,78.53783668,73.39480302,NA,57.36289382,57.14959887,70.5785124,NA,80.75716846,73.15359787
"10",1977-04-01,72.69,83.81787088,75.97652976,NA,62.47374562,62.83624351,68.815427,67.11225364,83.96057348,75.52686539
"11",1977-07-01,74.35,83.02693459,79.61441744,76.40416908,67.51458576,66.80037754,70.85399449,69.75149957,83.5125448,79.98860832
"12",1977-10-01,77.13,87.19538264,84.99580889,71.42443544,70.4084014,67.50825861,71.21212121,74.12167952,88.17204301,80.86197076
"13",1978-01-01,79.59,88.24283882,84.124057,72.61146497,71.85530922,68.97121284,71.79063361,76.19537275,89.2921147,83.36814126
"14",1978-04-01,82.74,97.37067123,91.41659681,76.98320787,73.4655776,70.92968381,77.10743802,79.58868895,87.79121864,87.77292576
"15",1978-07-01,85.15,96.7935015,94.19949707,87.23219456,74.11901984,72.29825389,77.85123967,82.4335904,85.95430108,88.72223277
"16",1978-10-01,87.49,101.3253527,91.2992456,86.2478286,77.08284714,74.35110901,79.00826446,84.49014567,88.14964158,90.31706854
"17",1979-01-01,91.4,96.90038478,94.76948868,93.34105385,79.90665111,79.49504483,87.07988981,89.61439589,92.20430108,94.30415796
"18",1979-04-01,94.45,100.5985464,96.93210394,92.44354372,83.96732789,83.24681454,90.13774105,90.28277635,95.6765233,97.66470477
"19",1979-07-01,96.46,99.63659684,98.87678122,94.73074696,89.45157526,89.52336008,93.14049587,96.02399314,96.0125448,99.20258212
"20",1979-10-01,98.27,100.2992732,100.6705784,96.61262305,94.51575263,95.04483247,93.88429752,101.302485,96.81899642,103.2086577
"21",1980-01-01,100,100,100,100,100,100,100,100,100,100
"22",1980-04-01,101.63,101.3467294,98.22296731,104.5454545,104.1073512,103.2326569,103.4986226,109.0659811,99.59677419,100.9682931
"23",1980-07-01,104.44,96.4942283,100.9388097,109.2356688,108.4480747,107.4327513,102.6446281,103.7874893,104.0770609,105.5439529
"24",1980-10-01,104.54,95.87430526,95.72506287,110.9148813,111.2718786,108.0698443,102.5344353,105.227078,106.9668459,108.0691096
"25",1981-01-01,105.2,102.0094057,92.60687343,115.402432,113.4189032,106.559698,105.5647383,108.7574979,108.0421147,108.5437631
"26",1981-04-01,107.42,107.5032065,100.0502934,120.0347423,117.8296383,109.3204342,109.8347107,114.0531277,110.2374552,110.7841276
"27",1981-07-01,108.8,104.7883711,98.27326069,124.3485814,119.9533256,108.8721095,112.8374656,117.4635818,111.9175627,110.6132523
"28",1981-10-01,107.51,104.1898247,92.85834032,124.4064852,121.9603267,108.6361491,112.6997245,98.09768638,105.9811828,107.860262
"29",1982-01-01,106.18,94.44206926,93.54568315,125.3329473,113.4655776,103.2090609,109.1735537,118.5089974,109.9014337,103.8921587
"30",1982-04-01,108.83,93.50149637,98.75943001,125.6224667,110.2450408,94.95044832,115.785124,109.9057412,110.3046595,108.0691096
"31",1982-07-01,107.04,90.29499786,100.5867561,127.7070064,107.537923,99.12694667,119.3939394,106.8551842,110.2150538,112.6447693
"32",1982-10-01,111.73,100.5557931,97.87091366,128.6045165,117.9229872,108.3294007,119.8347107,124.4387318,114.4041219,115.0939814
"33",1983-01-01,114.44,102.1590423,100.8214585,132.0208454,119.3932322,114.1812176,122.0661157,127.4550129,117.4731183,111.0309474
