,DATE,US,Pittsburgh,Boston,San.Jose,SanFransisco
181,1/1/2020,450.03,369.9413244,928.5176607,970.5250875,1026.781501
182,4/1/2020,454.54,374.1994971,936.1609728,972.3687281,1017.720623
183,7/1/2020,462.48,381.7602682,952.9241459,971.7852975,1002.241623
184,10/1/2020,472.66,388.1139983,971.7139548,978.1796966,1001.557338
185,1/1/2021,484.05,395.7418273,993.0515345,989.4515753,995.0684285
186,4/1/2021,510.95,414.0318525,1042.414592,1021.913652,1015.054271
187,7/1/2021,539.45,433.3109807,1094.701795,1038.973162,1022.722983
188,10/1/2021,558.1,439.8155909,1117.689635,1080.980163,1062.907032
189,1/1/2022,578.69,451.9027661,1148.320787,1135.052509,1091.647003
190,4/1/2022,617.63,474.9538977,1221.077012,1239.253209,1197.829165
191,7/1/2022,628.14,479.7150042,1231.210191,1188.028005,1150.023596
192,10/1/2022,623.29,472.8248114,1211.088593,1208.961494,1163.21378
193,1/1/2023,626.07,474.5683152,1218.818761,1168.098016,1103.374233
194,4/1/2023,645.18,499.0276614,1264.910249,1247.56126,1145.89429
195,7/1/2023,657.32,507.0578374,1299.334105,1272.508751,1142.449269
196,10/1/2023,657.67,503.55,1317.28,1270.2,1156.56
